,link
129,https://www.ufc.com/athlete/robert-bryczek
130,https://www.ufc.com/athlete/kori-makkenna-5
131,https://www.ufc.com/athlete/joaquin-buckley
132,https://www.ufc.com/athlete/mariya-agapova-2
133,https://www.ufc.com/athlete/modestas-bukauskas
134,https://www.ufc.com/athlete/felipe-bunes
135,https://www.ufc.com/athlete/dzhastin-byorlinson
136,https://www.ufc.com/athlete/nate-burnard
137,https://www.ufc.com/athlete/herbert-burns
138,https://www.ufc.com/athlete/gilbert-burns
139,https://www.ufc.com/athlete/jesse-butler
140,https://www.ufc.com/athlete/jp-buys
141,https://www.ufc.com/athlete/dennis-buzukja
142,https://www.ufc.com/athlete/alex-caceres
143,https://www.ufc.com/athlete/priscila-cachoeira
144,https://www.ufc.com/athlete/ricky-calatayud
145,https://www.ufc.com/athlete/cynthia-calvillo
146,https://www.ufc.com/athlete/charlie-campbell
147,https://www.ufc.com/athlete/aleksa-camur
148,https://www.ufc.com/athlete/carlos-candelario
149,https://www.ufc.com/athlete/jared-cannonier
150,https://www.ufc.com/athlete/ariane-carnelossi
151,https://www.ufc.com/athlete/ruana-karorina
152,https://www.ufc.com/athlete/clayton-carpenter
153,https://www.ufc.com/athlete/jack-cartwright
154,https://www.ufc.com/athlete/cortney-casey
155,https://www.ufc.com/athlete/john-castaneda
156,https://www.ufc.com/athlete/jacqueline-cavalcanti
157,https://www.ufc.com/athlete/henri-sefuto
158,https://www.ufc.com/athlete/vinicius-cenci
159,https://www.ufc.com/athlete/katlyn-chookagian
160,https://www.ufc.com/athlete/edgar-chairez
161,https://www.ufc.com/athlete/chelsea-chandler
162,https://www.ufc.com/athlete/michael-chandler
163,https://www.ufc.com/athlete/morgan-charriere
164,https://www.ufc.com/athlete/macy-chiasson
165,https://www.ufc.com/athlete/michael-chiesa
166,https://www.ufc.com/athlete/giga-chikadze
167,https://www.ufc.com/athlete/khamzat-chimaev
168,https://www.ufc.com/athlete/seung-woo-choi
169,https://www.ufc.com/athlete/dooho-choi
170,https://www.ufc.com/athlete/seungguk-choi
171,https://www.ufc.com/athlete/devin-clark
172,https://www.ufc.com/athlete/mark-climaco
173,https://www.ufc.com/athlete/coltin-cole-0
174,https://www.ufc.com/athlete/chandler-cole
175,https://www.ufc.com/athlete/jake-collier
176,https://www.ufc.com/athlete/marcos-conrado-junior
177,https://www.ufc.com/athlete/michael-cora
178,https://www.ufc.com/athlete/cory-corbin
179,https://www.ufc.com/athlete/nora-cornolle
180,https://www.ufc.com/athlete/jonathan-correa
181,https://www.ufc.com/athlete/waldo-cortes-acosta
182,https://www.ufc.com/athlete/mariya-agapova-4
183,https://www.ufc.com/athlete/tracy-cortez
184,https://www.ufc.com/athlete/davi-costa
185,https://www.ufc.com/athlete/alessandro-costa
186,https://www.ufc.com/athlete/melquizael-costa
187,https://www.ufc.com/athlete/paulo-costa
188,https://www.ufc.com/athlete/oscar-cota
189,https://www.ufc.com/athlete/colby-covington
190,https://www.ufc.com/athlete/hailey-cowan
191,https://www.ufc.com/athlete/paul-craig
192,https://www.ufc.com/athlete/kiefer-crosbie
193,https://www.ufc.com/athlete/jim-crute
194,https://www.ufc.com/athlete/dominick-cruz
195,https://www.ufc.com/athlete/timothy-cuamba
196,https://www.ufc.com/athlete/emilio-cuellar
197,https://www.ufc.com/athlete/josh-culibao
198,https://www.ufc.com/athlete/chris-curtis
199,https://www.ufc.com/athlete/ion-cutelaba
200,https://www.ufc.com/athlete/henrique-da-silva
201,https://www.ufc.com/athlete/diego-henrique-da-silva
202,https://www.ufc.com/athlete/igor-da-silva
203,https://www.ufc.com/athlete/henrique-da-silva-lopes
204,https://www.ufc.com/athlete/nicolas-dalby
205,https://www.ufc.com/athlete/kori-makkenna-1
206,https://www.ufc.com/athlete/peter-danesoe
207,https://www.ufc.com/athlete/jarjis-danho
208,https://www.ufc.com/athlete/beneil-dariush
209,https://www.ufc.com/athlete/chris-daukaus
210,https://www.ufc.com/athlete/mike-davis
211,https://www.ufc.com/athlete/hakeem-dawodu
212,https://www.ufc.com/athlete/grant-dawson
213,https://www.ufc.com/athlete/rafael-de-freitas
214,https://www.ufc.com/athlete/montana-de-la-rosa
215,https://www.ufc.com/athlete/marukosuhoshierio-terima
216,https://www.ufc.com/athlete/leonardo-de-oliveira
217,https://www.ufc.com/athlete/germaine-de-randamie
218,https://www.ufc.com/athlete/carl-deaton
219,https://www.ufc.com/athlete/sara-elpar-0
220,https://www.ufc.com/athlete/vanessa-demopulos
221,https://www.ufc.com/athlete/mackenzie-dern
222,https://www.ufc.com/athlete/marc-diakiese
223,https://www.ufc.com/athlete/blud-daymond
224,https://www.ufc.com/athlete/victor-dias
225,https://www.ufc.com/athlete/nick-diaz
226,https://www.ufc.com/athlete/ozzy-diaz
227,https://www.ufc.com/athlete/jhonata-diniz
228,https://www.ufc.com/athlete/rico-disciullo
229,https://www.ufc.com/athlete/matt-dixon
230,https://www.ufc.com/athlete/melissa-dixon
231,https://www.ufc.com/athlete/drew-dober
232,https://www.ufc.com/athlete/manon-firot-2
233,https://www.ufc.com/athlete/roman-dolidze
234,https://www.ufc.com/athlete/montserrat-rendon
235,https://www.ufc.com/athlete/rafael-dos-anjos
236,https://www.ufc.com/athlete/maiara-amajanas-dos-santos
237,https://www.ufc.com/athlete/elizeu-dos-santos
238,https://www.ufc.com/athlete/felipe-dos-santos
239,https://www.ufc.com/athlete/kyle-driscoll
240,https://www.ufc.com/athlete/dricus-du-plessis
241,https://www.ufc.com/athlete/emily-ducote
242,https://www.ufc.com/athlete/viktoriia-dudakova
243,https://www.ufc.com/athlete/isaac-dulgarian
244,https://www.ufc.com/athlete/sedriques-dumas
245,https://www.ufc.com/athlete/norma-dumont
246,https://www.ufc.com/athlete/christian-leroy-duncan
247,https://www.ufc.com/athlete/lyudovit-klayn-4
248,https://www.ufc.com/athlete/kori-makkenna-8
249,https://www.ufc.com/athlete/cody-durden
250,https://www.ufc.com/athlete/merab-dvalishvili
251,https://www.ufc.com/athlete/david-dvorak
252,https://www.ufc.com/athlete/roy-echeverria
253,https://www.ufc.com/athlete/joselyne-edwards
254,https://www.ufc.com/athlete/leon-edwards
255,https://www.ufc.com/athlete/stephanie-egger
256,https://www.ufc.com/athlete/evan-elder
257,https://www.ufc.com/athlete/joao-elias
258,https://www.ufc.com/athlete/darren-elkins
259,https://www.ufc.com/athlete/tim-elliott
260,https://www.ufc.com/athlete/oban-elliott
261,https://www.ufc.com/athlete/brian-ellis
262,https://www.ufc.com/athlete/sovannahry-em
263,https://www.ufc.com/athlete/freddy-emiliano-linares
264,https://www.ufc.com/athlete/jamall-emmers
265,https://www.ufc.com/athlete/josh-emmett
266,https://www.ufc.com/athlete/trevin-dzhayls-7
267,https://www.ufc.com/athlete/steve-erceg
268,https://www.ufc.com/athlete/julian-erosa
269,https://www.ufc.com/athlete/jarno-errens
270,https://www.ufc.com/athlete/carla-esparza
271,https://www.ufc.com/athlete/rafael-estevam
272,https://www.ufc.com/athlete/movsar-evloev
273,https://www.ufc.com/athlete/urijah-faber
274,https://www.ufc.com/athlete/zarah-fairn
275,https://www.ufc.com/athlete/lyudovit-klayn-0
276,https://www.ufc.com/athlete/jair-farias
277,https://www.ufc.com/athlete/rico-farrington
278,https://www.ufc.com/athlete/toni-fuakason
279,https://www.ufc.com/athlete/gabriella-fernandes
280,https://www.ufc.com/athlete/kaue-fernandes
281,https://www.ufc.com/athlete/lucas-fernando
282,https://www.ufc.com/athlete/diego-ferreira
283,https://www.ufc.com/athlete/filipe-lins-2
284,https://www.ufc.com/athlete/brunno-ferreira
285,https://www.ufc.com/athlete/andre-fialho
286,https://www.ufc.com/athlete/michal-figlak
287,https://www.ufc.com/athlete/deiveson-figueiredo
288,https://www.ufc.com/athlete/jafel-filho
289,https://www.ufc.com/athlete/andre-fili
290,https://www.ufc.com/athlete/manon-fiorot
291,https://www.ufc.com/athlete/rafael-fiziev
292,https://www.ufc.com/athlete/kori-makkenna-2
293,https://www.ufc.com/athlete/jimmy-flick
294,https://www.ufc.com/athlete/ty-flores
295,https://www.ufc.com/athlete/darrius-flowers
296,https://www.ufc.com/athlete/rob-font
297,https://www.ufc.com/athlete/brianna-van-buren
298,https://www.ufc.com/athlete/kai-kara-france
299,https://www.ufc.com/athlete/stephanie-frausto
300,https://www.ufc.com/athlete/josh-fremd
301,https://www.ufc.com/athlete/matt-frevola
302,https://www.ufc.com/athlete/adam-fugitt
303,https://www.ufc.com/athlete/magomed-gadzhiyasulov
304,https://www.ufc.com/athlete/justin-gaethje
305,https://www.ufc.com/athlete/muin-gafurov
306,https://www.ufc.com/athlete/mateusz-gamrot
