R_fighter,B_fighter,Winner name,weight_class,height_dif,reach_dif,age_dif,win_dif,loss_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif
Thiago Santos,Johnny Walker,Thiago Santos,Light Heavyweight,10.159999999999997,15.240000000000007,-8,-8,-6,-0.5300000000000002,0.6,-0.37
Alex Oliveira,Niko Price,Niko Price,Welterweight,2.539999999999992,0.0,-1,-5,-3,2.19,0.3,-1.48
Misha Cirkunov,Krzysztof Jotko,Krzysztof Jotko,Middleweight,-5.079999999999984,0.0,-2,3,1,-0.8500000000000001,-1.6,-3.3300000000000005
Alexander Hernandez,Mike Breeden,Alexander Hernandez,Lightweight,2.5400000000000205,-5.079999999999984,3,-4,-2,0.25,0.0,-1.57
Joe Solecki,Jared Gordon,Jared Gordon,Lightweight,0.0,-5.0800000000000125,5,1,3,2.58,-0.6,-0.31
Antonina Shevchenko,Casey O'Neill,Casey O'Neill,Women's Flyweight,-5.079999999999984,5.079999999999984,-13,-2,-3,1.5900000000000003,0.8999999999999999,3.3200000000000003
Bethe Correia,Karol Rosa,Karol Rosa,Women's Bantamweight,0.0,7.620000000000003,-12,-2,-5,3.51,0.0,1.11
Devonte Smith,Jamie Mullarkey,Jamie Mullarkey,Lightweight,7.620000000000003,-5.079999999999984,-1,-3,1,-2.07,-0.0999999999999999,2.97
Douglas Silva de Andrade,Gaetano Pirrello,Douglas Silva de Andrade,Bantamweight,0.0,-7.620000000000003,-7,-4,-3,-2.8,0.0,-0.69
Stephanie Egger,Shanna Young,Stephanie Egger,Women's Bantamweight,2.539999999999992,-7.620000000000003,-3,0,1,1.3,1.0,-2.01
Alejandro Perez,Johnny Eduardo,Alejandro Perez,Bantamweight,2.539999999999992,15.240000000000007,11,-4,1,-0.5,0.0,-0.39
Alexander Volkanovski,Brian Ortega,Alexander Volkanovski,Featherweight,5.079999999999984,-5.0800000000000125,-2,-2,1,-2.27,0.8999999999999999,-0.9
Valentina Shevchenko,Lauren Murphy,Valentina Shevchenko,Women's Flyweight,0.0,2.539999999999992,5,-3,2,0.3700000000000001,-0.1999999999999999,-1.59
Nick Diaz,Robbie Lawler,Robbie Lawler,Middleweight,-5.0800000000000125,-5.079999999999984,1,0,7,-1.98,-1.0,-0.62
Curtis Blaydes,Jairzinho Rozenstruik,Curtis Blaydes,Heavyweight,-5.079999999999984,-5.079999999999984,3,-3,-1,-0.6400000000000001,0.0,-6.27
Jessica Andrade,Cynthia Calvillo,Jessica Andrade,Women's Flyweight,7.620000000000003,5.0800000000000125,4,-6,-5,-2.0,0.7000000000000001,-1.13
Marlon Moraes,Merab Dvalishvili,Merab Dvalishvili,Bantamweight,0.0,2.539999999999992,-3,1,-2,0.92,-0.1,6.41
Dan Hooker,Nasrat Haqparast,Dan Hooker,Lightweight,-5.079999999999984,-7.620000000000003,-5,-5,-4,0.2400000000000002,-0.2,-0.75
Shamil Abdurakhimov,Chris Daukaus,Chris Daukaus,Heavyweight,0.0,0.0,-8,-2,-3,6.5,-0.2,-1.14
Roxanne Modafferi,Taila Santos,Taila Santos,Women's Flyweight,-2.539999999999992,-2.539999999999992,-11,-1,-7,0.5799999999999996,0.7000000000000001,1.3
Uros Medic,Jalin Turner,Jalin Turner,Lightweight,5.079999999999984,15.240000000000007,-2,2,2,-4.329999999999999,1.9,0.98
Cody Brundage,Nick Maximov,Nick Maximov,Middleweight,0.0,10.159999999999997,-4,1,-1,-1.0000000000000002,-0.9,2.14
Matthew Semelsberger,Martin Sano,Matthew Semelsberger,Welterweight,-5.0800000000000125,0.0,2,-2,-1,-2.16,-0.5,-0.98
Jonathan Pearce,Omar Morales,Jonathan Pearce,Featherweight,-2.539999999999992,5.0800000000000125,6,2,0,-3.39,-1.0,-6.57
Anthony Smith,Ryan Spann,Anthony Smith,Light Heavyweight,2.5400000000000205,7.620000000000003,-3,-6,-6,0.4000000000000003,0.8,1.12
Ion Cutelaba,Devin Clark,Ion Cutelaba,Light Heavyweight,-2.5400000000000205,0.0,4,2,0,-1.7800000000000002,0.1,-1.88
Ariane Lipski,Mandy Bohm,Ariane Lipski,Women's Flyweight,2.539999999999992,10.159999999999997,5,-2,-4,-0.9300000000000002,-0.4,-0.19
Arman Tsarukyan,Christos Giagos,Arman Tsarukyan,Lightweight,7.620000000000003,-2.539999999999992,7,2,3,-0.71,0.5,-0.0699999999999998
Nate Maness,Tony Gravely,Nate Maness,Bantamweight,-12.700000000000015,-7.620000000000003,-1,1,1,1.2699999999999996,0.0999999999999999,4.050000000000001
Joaquin Buckley,Antonio Arroyo,Joaquin Buckley,Middleweight,12.699999999999989,-7.619999999999976,5,0,0,-1.3400000000000003,0.2,0.3399999999999998
Mike Rodriguez,Tafon Nchukwi,Tafon Nchukwi,Light Heavyweight,-10.159999999999997,-12.699999999999989,-6,-1,-3,2.21,0.0,1.15
Pannie Kianzad,Raquel Pennington,Raquel Pennington,Women's Bantamweight,0.0,2.539999999999992,4,4,3,-1.75,0.6,0.8
Rong Zhu,Brandon Jenkins,Rong Zhu,Lightweight,7.620000000000003,0.0,8,0,-1,-1.52,0.0,-4.56
Montel Jackson,JP Buys,Montel Jackson,Bantamweight,-12.700000000000015,-20.32,-4,-4,0,-1.66,2.2,-2.43
Erin Blanchfield,Sarah Alpar,Erin Blanchfield,Women's Flyweight,0.0,-7.620000000000003,8,1,1,-5.640000000000001,0.4,-1.39
Impa Kasanganay,Carlston Harris,Carlston Harris,Welterweight,2.539999999999992,2.539999999999992,7,-3,-1,0.3099999999999996,2.5,-1.75
Emily Whitmire,Hannah Goldy,Hannah Goldy,Women's Flyweight,-2.539999999999992,-5.0800000000000125,-1,-1,-1,3.55,-0.2,-1.29
Derek Brunson,Darren Till,Derek Brunson,Middleweight,-2.5400000000000205,-7.620000000000003,-9,-10,-3,-1.1900000000000004,-0.5,-2.65
Tom Aspinall,Serghei Spivac,Tom Aspinall,Heavyweight,-5.0800000000000125,0.0,-2,1,2,-3.4800000000000004,-1.2,-0.0099999999999997
Alex Morono,David Zawada,Alex Morono,Welterweight,2.539999999999992,7.620000000000003,0,-7,-1,-1.2999999999999998,1.2999999999999998,0.59
Modestas Bukauskas,Khalil Rountree Jr.,Khalil Rountree Jr.,Light Heavyweight,-5.079999999999984,-5.0800000000000125,4,3,3,-0.3499999999999996,0.2,0.0
Paddy Pimblett,Luigi Vendramini,Paddy Pimblett,Lightweight,-5.0800000000000125,0.0,-1,1,2,-7.82,0.6,1.11
Molly McCann,Ji Yeon Kim,Molly McCann,Women's Flyweight,7.620000000000003,25.40000000000001,0,0,0,-0.6299999999999999,-0.6,-1.7
Jack Shore,Liudvik Sholinian,Jack Shore,Bantamweight,5.0800000000000125,0.0,5,-3,0,-2.76,-0.9,-4.47
Julian Erosa,Charles Jourdain,Julian Erosa,Catch Weight,-10.160000000000023,-12.700000000000015,-7,-2,-3,-0.4799999999999995,-0.3,-1.45
Dalcha Lungiambula,Marc-Andre Barriault,Marc-Andre Barriault,Middleweight,12.700000000000015,-5.079999999999984,-3,-1,2,2.83,0.0,-1.6999999999999995
Edson Barboza,Giga Chikadze,Giga Chikadze,Featherweight,2.539999999999992,-2.539999999999992,-2,-10,-8,-0.3500000000000005,0.1999999999999999,-0.07
Bryan Battle,Gilbert Urbina,Bryan Battle,Middleweight,5.079999999999984,-5.0800000000000125,-1,0,0,-0.1299999999999999,-2.1,2.07
Ricky Turcios,Brady Hiestand,Ricky Turcios,Bantamweight,-2.539999999999992,0.0,-6,0,-1,-2.6,0.0,5.0
Kevin Lee,Daniel Rodriguez,Daniel Rodriguez,Welterweight,10.160000000000023,-7.620000000000003,6,-5,-5,4.17,-0.6000000000000001,-2.35
Andre Petroski,Micheal Gillmore,Andre Petroski,Middleweight,-2.539999999999992,-2.5400000000000205,4,0,0,-1.13,-1.1,-4.55
Makhmud Muradov,Gerald Meerschaert,Gerald Meerschaert,Middleweight,-2.539999999999992,5.0800000000000125,2,4,6,-1.9799999999999995,1.5,2.27
Alessio Di Chirico,Abdul Razak Alhassan,Abdul Razak Alhassan,Middleweight,-5.079999999999984,-2.539999999999992,5,0,-1,0.4100000000000001,0.0,-1.09
Sam Alvey,Wellington Turman,Wellington Turman,Middleweight,-5.0800000000000125,-7.620000000000003,-10,-9,-7,-0.25,0.5,2.1500000000000004
Dustin Jacoby,Darren Stewart,Dustin Jacoby,Light Heavyweight,-7.620000000000003,-5.079999999999984,-3,2,4,-1.2700000000000005,0.1,1.4
JJ Aldrich,Vanessa Demopoulos,JJ Aldrich,Women's Flyweight,-7.620000000000003,-20.32,4,-5,-2,-0.92,1.0,-0.82
Jamall Emmers,Pat Sabatini,Pat Sabatini,Featherweight,-5.0800000000000125,-10.159999999999997,-2,0,-2,-4.130000000000001,2.3000000000000003,-1.87
Mana Martinez,Guido Cannetti,Mana Martinez,Bantamweight,-10.159999999999997,-5.0800000000000125,16,2,3,-1.6399999999999997,-0.7,0.31
Jared Cannonier,Kelvin Gastelum,Jared Cannonier,Middleweight,-5.08,-15.24,-8,5,2,-0.07,0.1,0.93
Clay Guida,Mark Madsen,Mark Madsen,Lightweight,2.54,5.08,-3,-16,-15,1.8,-0.7,1.09
Parker Porter,Chase Sherman,Parker Porter,Heavyweight,10.16,7.62,-5,2,5,-2.24,-0.7,-1.42
Trevin Jones,Saidyokub Kakhramonov,Saidyokub Kakhramonov,Bantamweight,2.54,-2.54,-6,-1,0,0.24,4.1,0.96
Vinc Pichel,Austin Hubbard,Vinc Pichel,Lightweight,0.0,-2.54,-9,-3,1,0.25,-0.3,-1.94
Alexandre Pantoja,Brandon Royval,Alexandre Pantoja,Flyweight,10.16,2.54,-2,-5,-2,-0.8,0.6,-0.1
Austin Lingo,Luis Saldana,Austin Lingo,Featherweight,2.54,7.62,3,1,-1,0.66,0.4,-0.67
Brian Kelleher,Domingo Pilarte,Brian Kelleher,Bantamweight,15.24,17.78,-4,-5,-4,-2.32,-0.1,-0.08
Bea Malecki,Josiane Nunes,Josiane Nunes,Women's Bantamweight,-17.78,-17.78,-2,-2,0,3.77,-1.1,0.0
William Knight,Fabio Cherant,William Knight,Light Heavyweight,7.62,2.54,-7,-3,1,-1.54,-0.3,-2.36
Roosevelt Roberts,Ignacio Bahamondes,Ignacio Bahamondes,Lightweight,2.54,5.08,-4,-4,-1,4.42,-0.9,-1.44
Sasha Palatnikov,Ramiz Brahimaj,Ramiz Brahimaj,Welterweight,-7.62,0.0,-4,-1,0,-3.54,1.0,1.33
Derrick Lewis,Ciryl Gane,Ciryl Gane,Heavyweight,2.54,5.08,-5,-10,-5,2.88,0.3,0.22
Jose Aldo,Pedro Munhoz,Jose Aldo,Bantamweight,-2.54,-12.7,0,-10,-1,1.92,0.6,0.07
Michael Chiesa,Vicente Luque,Vicente Luque,Welterweight,-5.08,0.0,-4,2,-1,3.78,-0.1,-2.98
Tecia Torres,Angela Hill,Tecia Torres,Women's Strawweight,5.08,10.16,5,0,4,1.0,0.0,-0.17
Song Yadong,Casey Kenney,Song Yadong,Bantamweight,-2.54,2.54,7,1,2,-0.06,0.1,0.6
Bobby Green,Rafael Fiziev,Rafael Fiziev,Lightweight,-5.08,0.0,-6,-9,-7,-0.11,-0.3,-0.87
Vince Morales,Drako Rodriguez,Vince Morales,Bantamweight,2.54,-2.54,-5,0,-3,-1.02,0.7,2.73
Alonzo Menifield,Ed Herman,Alonzo Menifield,Light Heavyweight,2.54,2.54,7,8,9,-0.85,0.8,1.52
Karolina Kowalkiewicz,Jessica Penne,Jessica Penne,Women's Strawweight,5.08,7.62,3,0,-2,-2.75,0.6,1.38
Manel Kape,Ode Osbourne,Manel Kape,Flyweight,5.08,12.7,2,2,-1,0.41,1.2,0.33
Miles Johns,Anderson Dos Santos,Miles Johns,Bantamweight,-5.08,10.16,9,-2,1,-1.33,0.7,-0.01
Victoria Leonardo,Melissa Gatto,Melissa Gatto,Women's Flyweight,0.0,12.7,-6,-1,-1,3.29,0.0,-0.06
Johnny Munoz,Jamey Simmons,Johnny Munoz,Bantamweight,-7.62,-2.54,0,0,0,-2.0,-2.7,-2.66
Uriah Hall,Sean Strickland,Sean Strickland,Middleweight,2.54,-7.62,-7,0,-4,1.98,0.1,0.74
Cheyanne Buys,Gloria de Paula,Cheyanne Buys,Women's Strawweight,5.08,10.16,0,0,0,-0.93,1.0,-0.48
Niklas Stolze,Jared Gooden,Jared Gooden,Welterweight,0.0,5.08,-1,0,1,2.75,0.0,0.03
Collin Anglin,Melsik Baghdasaryan,Melsik Baghdasaryan,Featherweight,0.0,-2.54,1,0,0,1.51,0.0,-2.75
Bryan Barberena,Jason Witt,Jason Witt,Welterweight,-5.08,-5.08,2,-5,-3,-2.63,0.9,6.25
Chris Gruetzemacher,Rafa Garcia,Chris Gruetzemacher,Lightweight,-2.54,5.08,-9,-3,-2,-2.8,0.5,2.5
Jinh Yu Frey,Ashley Yoder,Jinh Yu Frey,Women's Strawweight,10.16,10.16,-3,2,4,0.22,0.1,0.42
Ryan Benoit,Zarrukh Adashev,Zarrukh Adashev,Flyweight,0.0,-7.62,-2,-3,-3,0.66,0.1,-0.28
Phil Rowe,Orion Cosce,Phil Rowe,Welterweight,-10.16,-22.86,-4,0,-1,-1.27,0.0,1.0
Cory Sandhagen,TJ Dillashaw,TJ Dillashaw,Bantamweight,-12.7,-7.62,6,5,3,-1.06,0.2,0.89
Kyler Phillips,Raulian Paiva,Raulian Paiva,Bantamweight,0.0,-7.62,-1,-1,2,-0.96,-0.1,-2.58
Darren Elkins,Darrick Minner,Darren Elkins,Featherweight,-7.62,-5.08,-6,-13,-6,-0.5,2.9,0.44
Miranda Maverick,Maycee Barber,Maycee Barber,Women's Flyweight,5.08,0.0,-1,2,2,-0.1,0.2,-0.35
Adrian Yanez,Randy Costa,Adrian Yanez,Bantamweight,5.08,7.62,0,-1,1,2.51,0.0,0.0
Punahele Soriano,Brendan Allen,Brendan Allen,Middleweight,7.62,7.62,-3,2,1,-0.34,1.6,-0.29
Nassourdine Imavov,Ian Heinisch,Nassourdine Imavov,Middleweight,-10.16,-7.62,6,3,2,-1.05,-0.9,0.23
Mickey Gall,Jordan Williams,Mickey Gall,Welterweight,-2.54,2.54,1,-4,-1,3.37,-2.4,-0.09
Julio Arce,Andre Ewell,Julio Arce,Bantamweight,2.54,12.7,2,0,1,0.04,-0.4,-0.25
Sijara Eubanks,Elise Reed,Sijara Eubanks,Women's Flyweight,-2.54,-10.16,-8,-4,-4,-4.3,-0.4,-1.94
Diana Belbita,Hannah Goldy,Diana Belbita,Women's Strawweight,-7.62,-17.78,4,1,-1,-0.32,0.0,-0.25
Islam Makhachev,Thiago Moises,Islam Makhachev,Lightweight,-2.54,0.0,-3,-3,1,0.25,0.2,-2.28
Marion Reneau,Miesha Tate,Miesha Tate,Women's Bantamweight,0.0,-7.62,-10,6,0,-1.07,0.7,1.54
Jeremy Stephens,Mateusz Gamrot,Mateusz Gamrot,Lightweight,2.54,-2.54,-5,-14,-16,0.93,0.3,4.19
Rodolfo Vieira,Dustin Stoltzfus,Rodolfo Vieira,Middleweight,0.0,5.08,-2,-1,0,1.08,-0.9,-5.29
Gabriel Benitez,Billy Quarantillo,Billy Quarantillo,Featherweight,5.08,-2.54,-1,-2,-3,2.73,0.5,1.51
Daniel Rodriguez,Preston Parsons,Daniel Rodriguez,Welterweight,-5.08,-7.62,-8,-5,-1,-1.99,-0.2,-1.0
Amanda Lemos,Montserrat Conejo,Amanda Lemos,Women's Strawweight,-10.16,-10.16,-6,-2,-1,-5.16,1.4,1.9
Khalid Taha,Sergey Morozov,Sergey Morozov,Bantamweight,2.54,-5.08,3,-1,-1,-0.28,-0.3,3.81
Francisco Figueiredo,Malcolm Gordon,Malcolm Gordon,Flyweight,2.54,7.62,0,-1,2,0.5,0.0,-1.53
Alan Baudot,Rodrigo Nascimento,Rodrigo Nascimento,Heavyweight,-2.54,2.54,-5,2,0,-2.35,1.7,1.71
Dustin Poirier,Conor McGregor,Dustin Poirier,Lightweight,0.0,5.08,0,-10,-3,-0.3,-1.1,-0.83
Gilbert Burns,Stephen Thompson,Gilbert Burns,Welterweight,5.08,10.16,4,-1,0,0.94,-0.6,-1.86
Tai Tuivasa,Greg Hardy,Tai Tuivasa,Heavyweight,7.62,12.7,4,1,0,0.36,0.0,0.2
Irene Aldana,Yana Kunitskaya,Irene Aldana,Women's Bantamweight,-7.62,0.0,-2,-1,-2,-1.33,0.1,1.31
Sean O'Malley,Kris Moutinho,Sean O'Malley,Bantamweight,-10.16,-10.16,2,-6,-1,-3.44,-0.6,-0.63
Carlos Condit,Max Griffin,Max Griffin,Welterweight,-7.62,2.54,-2,-9,-4,0.69,-0.6,1.04
Niko Price,Michel Pereira,Michel Pereira,Welterweight,2.54,-7.62,-4,-3,-2,-1.07,-0.1,1.26
Ryan Hall,Ilia Topuria,Ilia Topuria,Featherweight,-7.62,-2.54,-12,-2,0,0.47,2.5,3.06
Trevin Giles,Dricus Du Plessis,Dricus Du Plessis,Middleweight,2.54,5.08,-1,-4,-2,1.93,-0.3,1.72
Jennifer Maia,Jessica Eye,Jennifer Maia,Women's Flyweight,5.08,5.08,2,2,5,0.16,0.4,0.26
Omari Akhmedov,Brad Tavares,Brad Tavares,Middleweight,2.54,2.54,0,4,2,0.21,-0.2,-1.67
Zhalgas Zhumagulov,Jerome Rivera,Zhalgas Zhumagulov,Flyweight,15.24,15.24,-6,1,1,-1.0,-0.5,-1.4
Ciryl Gane,Alexander Volkov,Ciryl Gane,Heavyweight,7.62,-2.54,1,2,2,-0.16,-0.3,-0.47
Tanner Boser,Ovince Saint Preux,Tanner Boser,Heavyweight,2.54,12.7,9,16,8,-1.53,0.6,1.19
Raoni Barcelos,Timur Valiev,Timur Valiev,Bantamweight,-2.54,0.0,-3,-4,0,-0.09,-0.7,0.5
Tim Means,Nicolas Dalby,Tim Means,Welterweight,-7.62,-2.54,-1,-10,-7,-1.96,-0.2,0.53
Renato Moicano,Jai Herbert,Renato Moicano,Lightweight,5.08,12.7,1,-6,-3,-3.57,-0.6,-1.28
Kennedy Nzechukwu,Danilo Marques,Kennedy Nzechukwu,Light Heavyweight,2.54,-15.24,6,-2,-1,-3.57,1.2,4.83
Shavkat Rakhmonov,Michel Prazeres,Shavkat Rakhmonov,Welterweight,-17.78,-25.4,13,9,3,-0.35,-2.6,4.11
Warlley Alves,Jeremiah Wells,Jeremiah Wells,Welterweight,-5.08,5.08,4,-8,-4,-3.09,-1.0,-1.48
Marcin Prachnio,Ike Villanueva,Marcin Prachnio,Light Heavyweight,-5.08,-2.54,5,0,-1,-1.78,0.0,0.0
Julia Avila,Julija Stoliarenko,Julia Avila,Women's Bantamweight,0.0,-5.08,-5,-2,1,-1.0,0.5,-0.49
Charles Rosa,Justin Jaynes,Charles Rosa,Featherweight,-5.08,-2.54,-3,-3,-2,0.47,-0.4,-1.76
Yancy Medeiros,Damir Hadzovic,Damir Hadzovic,Lightweight,-2.54,-12.7,1,-5,-3,-1.06,-0.3,0.56
Chan Sung Jung,Dan Ige,Chan Sung Jung,Featherweight,0.0,-2.54,-5,2,-3,-0.25,-0.3,0.56
Aleksei Oleinik,Serghei Spivac,Serghei Spivac,Heavyweight,2.54,-5.08,-17,-5,-4,0.3,-2.0,0.67
Marlon Vera,Davey Grant,Marlon Vera,Bantamweight,0.0,-2.54,7,-6,-3,0.3,-1.1,1.19
Julian Erosa,SeungWoo Choi,SeungWoo Choi,Featherweight,-2.54,0.0,-3,-2,-2,-1.79,-0.9,-0.29
Wellington Turman,Bruno Silva,Bruno Silva,Middleweight,0.0,5.08,7,-1,-2,1.56,-0.8,-2.31
Matt Brown,Dhiego Lima,Matt Brown,Welterweight,5.08,0.0,-8,-11,-6,-0.56,-0.8,-0.26
Aleksa Camur,Nicolae Negumereanu,Nicolae Negumereanu,Light Heavyweight,-2.54,10.16,1,-2,0,-2.05,0.0,-0.09
Kanako Murata,Virna Jandiroba,Virna Jandiroba,Women's Strawweight,5.08,5.08,6,1,2,0.57,0.7,0.1
Khaos Williams,Matthew Semelsberger,Khaos Williams,Welterweight,2.54,-5.08,1,0,-1,0.91,0.5,0.99
Josh Parisian,Roque Martinez,Josh Parisian,Heavyweight,-15.24,-17.78,4,-2,1,-3.25,0.0,-0.05
Joaquim Silva,Ricky Glenn,Ricky Glenn,Lightweight,10.16,2.54,0,-1,1,0.49,-0.4,0.43
Casey O'Neill,Lara Procopio,Casey O'Neill,Women's Flyweight,-5.08,-5.08,2,0,1,0.08,-1.8,-0.32
Israel Adesanya,Marvin Vettori,Israel Adesanya,Middleweight,-10.16,-15.24,-4,-2,1,-0.06,0.5,2.24
Deiveson Figueiredo,Brandon Moreno,Brandon Moreno,Flyweight,5.08,5.08,-6,-3,1,0.2,-1.3,0.51
Leon Edwards,Nate Diaz,Leon Edwards,Welterweight,-5.08,5.08,7,9,9,1.89,1.0,-0.38
Demian Maia,Belal Muhammad,Belal Muhammad,Welterweight,-5.08,0.0,-11,-13,-7,2.81,-0.8,-0.69
Paul Craig,Jamahal Hill,Paul Craig,Light Heavyweight,2.54,7.62,-3,-3,-4,4.91,-1.9,-2.06
Drew Dober,Brad Riddell,Brad Riddell,Lightweight,-2.54,2.54,-3,-7,-6,0.37,-0.1,1.18
Eryk Anders,Darren Stewart,Eryk Anders,Light Heavyweight,-2.54,-2.54,-4,0,0,-0.22,0.0,0.09
Lauren Murphy,Joanne Calderwood,Lauren Murphy,Women's Flyweight,2.54,-5.08,-2,1,1,2.8,0.3,0.46
Movsar Evloev,Hakeem Dawodu,Movsar Evloev,Featherweight,2.54,2.54,2,1,1,0.4,-0.4,-4.0
Pannie Kianzad,Alexis Davis,Pannie Kianzad,Women's Bantamweight,-2.54,5.08,7,6,4,-1.16,0.5,0.76
Matt Frevola,Terrance McKinney,Terrance McKinney,Lightweight,2.54,5.08,-5,-3,-1,-1.0,-1.1,1.75
Chase Hooper,Steven Peterson,Steven Peterson,Featherweight,-7.62,-10.16,10,-1,3,0.56,-1.6,0.91
Fares Ziam,Luigi Vendramini,Fares Ziam,Lightweight,-12.7,-5.08,1,0,0,0.13,0.7,0.34
Carlos Felipe,Jake Collier,Carlos Felipe,Heavyweight,7.62,7.62,6,2,3,0.64,0.3,0.48
Jairzinho Rozenstruik,Augusto Sakai,Jairzinho Rozenstruik,Heavyweight,2.54,-2.54,-3,0,-1,1.95,0.0,0.14
Walt Harris,Marcin Tybura,Marcin Tybura,Heavyweight,-5.08,2.54,-2,2,-3,0.58,0.0,1.38
Roman Dolidze,Laureano Staropoli,Roman Dolidze,Middleweight,-2.54,-12.7,-4,0,1,1.28,-1.5,-1.94
Santiago Ponzinibbio,Miguel Baeza,Santiago Ponzinibbio,Welterweight,5.08,2.54,-6,-5,-3,0.65,0.9,0.11
Dusko Todorovic,Gregory Rodrigues,Gregory Rodrigues,Middleweight,5.08,2.54,2,-2,0,-0.8,0.0,2.25
Montana De La Rosa,Ariane Lipski,Montana De La Rosa,Women's Flyweight,-2.54,-2.54,1,-2,1,-0.11,-0.6,-2.02
Tanner Boser,Ilir Latifi,Ilir Latifi,Heavyweight,-10.16,-5.08,8,4,4,-2.37,0.4,2.02
Francisco Trinaldo,Muslim Salikhov,Muslim Salikhov,Welterweight,5.08,0.0,-6,-12,-5,0.05,-0.5,0.09
Makwan Amirkhani,Kamuela Kirk,Kamuela Kirk,Featherweight,0.0,7.62,-5,-6,-2,1.87,0.7,-2.43
Manon Fiorot,Tabatha Ricci,Manon Fiorot,Women's Flyweight,-15.24,-10.16,-5,-1,0,-5.87,0.0,-1.75
Sean Woodson,Youssef Zalal,Sean Woodson,Featherweight,-10.16,-15.24,-4,1,1,-2.76,0.6,2.33
Claudio Puelles,Jordan Leavitt,Claudio Puelles,Lightweight,-2.54,-2.54,1,0,-1,-0.43,-0.1,-0.29
Rob Font,Cody Garbrandt,Rob Font,Bantamweight,0.0,-15.24,-4,-1,0,-2.41,-0.6,-0.15
Yan Xiaonan,Carla Esparza,Carla Esparza,Women's Strawweight,-10.16,0.0,2,2,4,-3.61,0.3,2.61
Justin Tafa,Jared Vanderaa,Jared Vanderaa,Heavyweight,10.16,15.24,2,0,-1,0.44,0.0,0.53
Felicia Spencer,Norma Dumont,Norma Dumont,Women's Featherweight,2.54,-2.54,0,-1,-1,1.93,-0.2,1.31
Ricardo Ramos,Bill Algeo,Ricardo Ramos,Featherweight,7.62,2.54,6,-4,0,3.27,-0.7,-2.58
Jack Hermansson,Edmen Shahbazyan,Jack Hermansson,Middleweight,2.54,-7.62,-9,-3,-3,-1.4,0.1,0.88
Ben Rothwell,Chris Barnett,Ben Rothwell,Heavyweight,-17.78,-7.62,-5,-15,-8,0.93,-0.4,-0.68
Court McGee,Claudio Silva,Court McGee,Welterweight,0.0,-10.16,2,-3,-8,-1.95,0.9,0.95
Bruno Silva,Victor Rodriguez,Bruno Silva,Flyweight,2.54,5.08,-3,-1,-1,-1.39,0.0,-2.89
Josh Culibao,Shayilan Nuerdanbieke,Josh Culibao,Featherweight,-5.08,-10.16,1,0,-1,-1.79,-0.4,2.0
David Dvorak,Juancamilo Ronderos,David Dvorak,Flyweight,-2.54,-10.16,-2,-2,0,0.32,-0.5,0.0
Rafael Alves,Damir Ismagulov,Damir Ismagulov,Lightweight,5.08,15.24,0,2,0,1.74,-1.3,1.75
Charles Oliveira,Michael Chandler,Charles Oliveira,Lightweight,-5.08,-7.62,4,-15,-8,1.23,-1.1,-0.61
Tony Ferguson,Beneil Dariush,Beneil Dariush,Lightweight,-2.54,-10.16,-5,-1,1,-1.35,-0.1,1.69
Matt Schnell,Rogerio Bontorin,Rogerio Bontorin,Bantamweight,-7.62,-7.62,-2,-2,-1,-1.41,0.2,1.29
Katlyn Chookagian,Viviane Araujo,Katlyn Chookagian,Women's Flyweight,-12.7,0.0,2,-4,-3,0.57,-0.1,1.85
Shane Burgos,Edson Barboza,Edson Barboza,Featherweight,0.0,0.0,5,9,7,-3.13,0.0,0.15
Jacare Souza,Andre Muniz,Andre Muniz,Middleweight,0.0,15.24,-10,-15,-8,-0.37,1.0,0.55
Lando Vannata,Mike Grundy,Lando Vannata,Featherweight,-5.08,2.54,5,-2,-4,-2.53,0.1,2.66
Jordan Wright,Jamie Pickett,Jordan Wright,Middleweight,0.0,7.62,3,0,2,-4.26,0.4,1.44
Andrea Lee,Antonina Shevchenko,Andrea Lee,Women's Flyweight,5.08,-5.08,4,1,-1,-1.61,-0.3,-1.38
Gina Mazany,Priscila Cachoeira,Priscila Cachoeira,Women's Flyweight,2.54,-7.62,0,-1,-1,0.38,-0.3,-4.7
Kevin Aguilar,Tucker Lutz,Tucker Lutz,Featherweight,2.54,-2.54,-6,-1,-3,1.13,0.3,2.17
Christos Giagos,Sean Soriano,Christos Giagos,Lightweight,-2.54,-2.54,0,-4,-1,0.56,-0.5,-2.3
Marina Rodriguez,Michelle Waterson,Marina Rodriguez,Women's Flyweight,-7.62,-7.62,1,4,3,-1.32,0.7,1.12
Donald Cerrone,Alex Morono,Alex Morono,Welterweight,-5.08,-2.54,-8,-22,-11,0.62,-0.8,-0.75
Neil Magny,Geoff Neal,Neil Magny,Welterweight,-10.16,-12.7,-3,-11,-6,0.75,-0.1,-1.84
Maurice Greene,Marcos Rogerio de Lima,Marcos Rogerio de Lima,Heavyweight,-15.24,-12.7,1,2,3,-0.04,0.2,1.14
Diego Ferreira,Gregor Gillespie,Gregor Gillespie,Lightweight,-5.08,-7.62,-2,-2,-2,-0.96,0.0,6.05
Phil Hawes,Kyle Daukaus,Phil Hawes,Middleweight,7.62,-2.54,-4,-1,0,-0.21,0.8,-0.95
Ludovit Klein,Michael Trizano,Michael Trizano,Featherweight,10.16,-2.54,3,1,1,-0.1,0.9,-3.4
