R_fighter,B_fighter,Winner name,weight_class,height_dif,reach_dif,age_dif,win_dif,loss_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif
Yves Jabouin,Dustin Pague,Yves Jabouin,Bantamweight,5.08,15.24,9,-2,-1,-14.4,0.5,-0.3
Minotauro Nogueira,Fabricio Werdum,Fabricio Werdum,Heavyweight,2.54,0.0,2,-1,1,12.95833333,-1.25,-0.541666667
William Patolino,Leonardo Santos,Leonardo Santos,Welterweight,2.54,0.0,-12,0,0,0.0,0.0,0.0
Thiago Silva,Rafael Feijao,Thiago Silva,Light Heavyweight,-2.54,-2.54,-3,-5,5,-27.9,-0.4,-0.6
Erick Silva,Jason High,Erick Silva,Welterweight,-10.16,-7.62,-3,-2,1,1.75,2.0,-0.5
Daniel Sarafian,Eddie Mendez,Daniel Sarafian,Middleweight,2.54,7.62,1,0,1,-38.0,0.0,0.0
Rony Jason,Mike Wilkinson,Rony Jason,Featherweight,0.0,-5.08,4,-1,0,13.0,-0.5,0.5
Raphael Assuncao,Vaughan Lee,Raphael Assuncao,Bantamweight,2.54,0.0,0,-1,-1,-21.75,1.0,0.25
Godofredo Pepey,Felipe Arantes,Felipe Arantes,Featherweight,2.54,0.0,0,0,-1,6.0,-0.5,0.666666667
Ildemar Alcantara,Leandro Silva,Ildemar Alcantara,Welterweight,-12.7,-15.24,3,-1,0,-24.0,-3.0,-2.0
Rodrigo Damm,Mizuto Hirota,Rodrigo Damm,Featherweight,0.0,-10.16,1,-1,0,-26.5,-0.5,1.0
Caio Magalhaes,Karlos Vemola,Caio Magalhaes,Middleweight,-2.54,5.08,-2,2,-2,-9.8,1.2,-1.0
Antonio Braga Neto,Anthony Smith,Antonio Braga Neto,Middleweight,2.54,-2.54,1,0,0,0.0,0.0,0.0
Cain Velasquez,Antonio Silva,Cain Velasquez,Heavyweight,7.62,7.62,-3,-7,0,-31.56666667,-0.2,-2.7
Junior Dos Santos,Mark Hunt,Junior Dos Santos,Heavyweight,-15.24,-12.7,-10,-5,0,-22.5,0.2,0.5
Glover Teixeira,James Te Huna,Glover Teixeira,Light Heavyweight,0.0,-2.54,2,2,-1,-22.33333333,-0.5,-0.833333334
Gray Maynard,TJ Grant,TJ Grant,Lightweight,2.54,5.08,5,-2,0,17.73333333,-0.25,-1.183333333
Donald Cerrone,KJ Noons,Donald Cerrone,Lightweight,-7.62,-2.54,0,-6,2,-44.125,-0.25,-0.5
Mike Pyle,Rick Story,Mike Pyle,Welterweight,-7.62,-7.62,9,1,-1,19.41666667,0.283333333,1.4
Dennis Bermudez,Max Holloway,Dennis Bermudez,Featherweight,12.7,7.62,5,0,0,19.0,-1.25,-2.5
Colton Smith,Robert Whittaker,Robert Whittaker,Welterweight,0.0,5.08,3,0,0,68.0,-1.0,-7.0
Khabib Nurmagomedov,Abel Trujillo,Khabib Nurmagomedov,Lightweight,-5.08,0.0,-5,-2,0,29.66666667,1.666666667,0.0
