height_dif,reach_dif,age_dif,win_dif,loss_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,weight_class_encoded
10.159999999999997,15.240000000000007,-8,-8,-6,-0.5300000000000002,0.6,-0.37,0
2.539999999999992,0.0,-1,-5,-3,2.19,0.3,-1.48,1
-5.079999999999984,0.0,-2,3,1,-0.8500000000000001,-1.6,-3.3300000000000005,2
2.5400000000000205,-5.079999999999984,3,-4,-2,0.25,0.0,-1.57,3
0.0,-5.0800000000000125,5,1,3,2.58,-0.6,-0.31,3
-5.079999999999984,5.079999999999984,-13,-2,-3,1.5900000000000003,0.8999999999999999,3.3200000000000003,4
0.0,7.620000000000003,-12,-2,-5,3.51,0.0,1.11,5
7.620000000000003,-5.079999999999984,-1,-3,1,-2.07,-0.0999999999999999,2.97,3
0.0,-7.620000000000003,-7,-4,-3,-2.8,0.0,-0.69,6
2.539999999999992,-7.620000000000003,-3,0,1,1.3,1.0,-2.01,5
2.539999999999992,15.240000000000007,11,-4,1,-0.5,0.0,-0.39,6
5.079999999999984,-5.0800000000000125,-2,-2,1,-2.27,0.8999999999999999,-0.9,7
0.0,2.539999999999992,5,-3,2,0.3700000000000001,-0.1999999999999999,-1.59,4
-5.0800000000000125,-5.079999999999984,1,0,7,-1.98,-1.0,-0.62,2
-5.079999999999984,-5.079999999999984,3,-3,-1,-0.6400000000000001,0.0,-6.27,8
7.620000000000003,5.0800000000000125,4,-6,-5,-2.0,0.7000000000000001,-1.13,4
0.0,2.539999999999992,-3,1,-2,0.92,-0.1,6.41,6
-5.079999999999984,-7.620000000000003,-5,-5,-4,0.2400000000000002,-0.2,-0.75,3
0.0,0.0,-8,-2,-3,6.5,-0.2,-1.14,8
-2.539999999999992,-2.539999999999992,-11,-1,-7,0.5799999999999996,0.7000000000000001,1.3,4
5.079999999999984,15.240000000000007,-2,2,2,-4.329999999999999,1.9,0.98,3
0.0,10.159999999999997,-4,1,-1,-1.0000000000000002,-0.9,2.14,2
-5.0800000000000125,0.0,2,-2,-1,-2.16,-0.5,-0.98,1
-2.539999999999992,5.0800000000000125,6,2,0,-3.39,-1.0,-6.57,7
2.5400000000000205,7.620000000000003,-3,-6,-6,0.4000000000000003,0.8,1.12,0
-2.5400000000000205,0.0,4,2,0,-1.7800000000000002,0.1,-1.88,0
2.539999999999992,10.159999999999997,5,-2,-4,-0.9300000000000002,-0.4,-0.19,4
7.620000000000003,-2.539999999999992,7,2,3,-0.71,0.5,-0.0699999999999998,3
-12.700000000000015,-7.620000000000003,-1,1,1,1.2699999999999996,0.0999999999999999,4.050000000000001,6
12.699999999999989,-7.619999999999976,5,0,0,-1.3400000000000003,0.2,0.3399999999999998,2
-10.159999999999997,-12.699999999999989,-6,-1,-3,2.21,0.0,1.15,0
0.0,2.539999999999992,4,4,3,-1.75,0.6,0.8,5
7.620000000000003,0.0,8,0,-1,-1.52,0.0,-4.56,3
-12.700000000000015,-20.32,-4,-4,0,-1.66,2.2,-2.43,6
0.0,-7.620000000000003,8,1,1,-5.640000000000001,0.4,-1.39,4
2.539999999999992,2.539999999999992,7,-3,-1,0.3099999999999996,2.5,-1.75,1
-2.539999999999992,-5.0800000000000125,-1,-1,-1,3.55,-0.2,-1.29,4
-2.5400000000000205,-7.620000000000003,-9,-10,-3,-1.1900000000000004,-0.5,-2.65,2
-5.0800000000000125,0.0,-2,1,2,-3.4800000000000004,-1.2,-0.0099999999999997,8
2.539999999999992,7.620000000000003,0,-7,-1,-1.2999999999999998,1.2999999999999998,0.59,1
-5.079999999999984,-5.0800000000000125,4,3,3,-0.3499999999999996,0.2,0.0,0
-5.0800000000000125,0.0,-1,1,2,-7.82,0.6,1.11,3
7.620000000000003,25.40000000000001,0,0,0,-0.6299999999999999,-0.6,-1.7,4
5.0800000000000125,0.0,5,-3,0,-2.76,-0.9,-4.47,6
-10.160000000000023,-12.700000000000015,-7,-2,-3,-0.4799999999999995,-0.3,-1.45,9
12.700000000000015,-5.079999999999984,-3,-1,2,2.83,0.0,-1.6999999999999995,2
2.539999999999992,-2.539999999999992,-2,-10,-8,-0.3500000000000005,0.1999999999999999,-0.07,7
5.079999999999984,-5.0800000000000125,-1,0,0,-0.1299999999999999,-2.1,2.07,2
-2.539999999999992,0.0,-6,0,-1,-2.6,0.0,5.0,6
10.160000000000023,-7.620000000000003,6,-5,-5,4.17,-0.6000000000000001,-2.35,1
-2.539999999999992,-2.5400000000000205,4,0,0,-1.13,-1.1,-4.55,2
-2.539999999999992,5.0800000000000125,2,4,6,-1.9799999999999995,1.5,2.27,2
-5.079999999999984,-2.539999999999992,5,0,-1,0.4100000000000001,0.0,-1.09,2
-5.0800000000000125,-7.620000000000003,-10,-9,-7,-0.25,0.5,2.1500000000000004,2
-7.620000000000003,-5.079999999999984,-3,2,4,-1.2700000000000005,0.1,1.4,0
-7.620000000000003,-20.32,4,-5,-2,-0.92,1.0,-0.82,4
-5.0800000000000125,-10.159999999999997,-2,0,-2,-4.130000000000001,2.3000000000000003,-1.87,7
-10.159999999999997,-5.0800000000000125,16,2,3,-1.6399999999999997,-0.7,0.31,6
-5.08,-15.24,-8,5,2,-0.07,0.1,0.93,2
2.54,5.08,-3,-16,-15,1.8,-0.7,1.09,3
10.16,7.62,-5,2,5,-2.24,-0.7,-1.42,8
2.54,-2.54,-6,-1,0,0.24,4.1,0.96,6
0.0,-2.54,-9,-3,1,0.25,-0.3,-1.94,3
10.16,2.54,-2,-5,-2,-0.8,0.6,-0.1,10
2.54,7.62,3,1,-1,0.66,0.4,-0.67,7
15.24,17.78,-4,-5,-4,-2.32,-0.1,-0.08,6
-17.78,-17.78,-2,-2,0,3.77,-1.1,0.0,5
7.62,2.54,-7,-3,1,-1.54,-0.3,-2.36,0
2.54,5.08,-4,-4,-1,4.42,-0.9,-1.44,3
-7.62,0.0,-4,-1,0,-3.54,1.0,1.33,1
2.54,5.08,-5,-10,-5,2.88,0.3,0.22,8
-2.54,-12.7,0,-10,-1,1.92,0.6,0.07,6
-5.08,0.0,-4,2,-1,3.78,-0.1,-2.98,1
5.08,10.16,5,0,4,1.0,0.0,-0.17,11
-2.54,2.54,7,1,2,-0.06,0.1,0.6,6
-5.08,0.0,-6,-9,-7,-0.11,-0.3,-0.87,3
2.54,-2.54,-5,0,-3,-1.02,0.7,2.73,6
2.54,2.54,7,8,9,-0.85,0.8,1.52,0
5.08,7.62,3,0,-2,-2.75,0.6,1.38,11
5.08,12.7,2,2,-1,0.41,1.2,0.33,10
-5.08,10.16,9,-2,1,-1.33,0.7,-0.01,6
0.0,12.7,-6,-1,-1,3.29,0.0,-0.06,4
-7.62,-2.54,0,0,0,-2.0,-2.7,-2.66,6
2.54,-7.62,-7,0,-4,1.98,0.1,0.74,2
5.08,10.16,0,0,0,-0.93,1.0,-0.48,11
0.0,5.08,-1,0,1,2.75,0.0,0.03,1
0.0,-2.54,1,0,0,1.51,0.0,-2.75,7
-5.08,-5.08,2,-5,-3,-2.63,0.9,6.25,1
